구분,고유번호,종목코드,회사명,induty_code,법인등록번호
상장,00465410,076850,(주)맥쿼리센트럴오피스기업구조조정부동산투자회사,68112,1101112914342
상장,00978075,179720,(주)머니무브,649,1101114796392
상장,00364740,100590,(주)머큐리,2642,1201110230277
상장,00425351,067280,(주)멀티캠퍼스,85650,1101111960792
상장,00923516,446540,(주)메가터치,28201,1615110121601
상장,01336373,235980,(주)메드팩토,70113,1358110232363
상장,01018617,200580,(주)메디쎄이,27199,1348110088014
상장,00273439,041920,(주)메디아나,27112,1101111168502
상장,01035942,233250,(주)메디안디노스틱,213,1341110069167
상장,01023822,236340,(주)메디젠휴먼케어,70113,1101114922286
상장,00356839,054180,(주)메디콕스,31114,1101111640609
상장,00580199,086900,(주)메디톡스,211,1648110016928
상장,00860332,138040,(주)메리츠금융지주,64992,1101114566406
상장,01596656,408920,(주)메쎄이상,759,1101118073613
상장,01780608,0088M0,(주)메쥬,27112,1412110096630
상장,00808022,140410,(주)메지온,70113,1101112615578
상장,00652007,241770,(주)메카로,261,1201110233338
상장,00246383,035830,(주)메카포럼,90191,1101110857601
상장,00442835,090370,(주)메타랩스,141,1101112103953
상장,00317681,059210,(주)메타바이오메드,213,1501110041925
상장,00791209,118000,(주)메타케어,4659,1701110391532
상장,00393469,065560,(주)메티스,181,1101110529747
상장,00270113,058110,(주)멕아이씨에스,271,1341110063143
상장,00609315,096640,(주)멜파스,2629,1101111870347
상장,00583026,072770,(주)멤레이비티,620,1101111518418
상장,00173102,012690,(주)모나리자,17902,1101110220882
상장,00121288,005360,(주)모나미,46452,1101110005052
상장,01583652,434480,(주)모니터랩,58221,1101113173351
상장,00757816,149940,(주)모다,26429,1101110819932
상장,00480048,080420,(주)모다이노칩,474,1355110106027
상장,00368791,064720,(주)모델라인,2642,1601110071219
상장,00456218,080160,(주)모두투어네트워크,75210,1101110609771
상장,00318477,046000,(주)모디아,62021,1101111573454
상장,00676380,110310,(주)모린스,2629,1116110072703
상장,00498001,101330,(주)모베이스,2642,1101111665516
상장,00137234,012860,(주)모베이스전자,303,1301110008961
상장,00347442,051810,(주)모보,28302,1201110017336
상장,01493535,363260,(주)모비데이즈,713,1101117588506
상장,01165155,250060,(주)모비스,620,1101116108587
상장,00540021,085680,(주)모빌탑,58221,1101111670630
상장,01423837,288980,(주)모아데이타,58222,1101115373933
상장,00587925,142760,(주)모아라이프플러스,701,1601110091332
상장,00350251,052880,(주)모아에스앤에스,75999,1201110124090
상장,00241209,033200,(주)모아텍,2629,1101110613607
상장,00151128,009680,(주)모토닉,303,1101110161317
상장,00163318,006920,(주)모헨즈,23322,1101110046197
상장,00215976,038340,(주)무궁화인포메이션테크놀로지,262,2043110000419
상장,00121543,033920,(주)무학,11122,1901110002721
상장,00308948,053890,(주)미디어코프,5811,1101111574965
상장,00111865,028040,(주)미래SCI,461,1812110003835
상장,01071944,218150,(주)미래생명자원,109,1101115687615
상장,00104786,007120,(주)미래아이앤지,620,1101110100951
상장,00876209,208890,(주)미래엔에듀파트너,857,1101114073188
상장,00653112,233190,(주)미래자원엠엘,1090,1101111517957
상장,00447760,049950,(주)미래컴퍼니,29271,1101110911192
상장,01015726,213090,(주)미래테크놀로지,58221,1101111431347
상장,00530796,094700,(주)미성포리테크,2629,1211110071969
상장,00195229,081660,(주)미스토홀딩스,464,1101110792667
상장,00866594,225850,(주)미애부,464,1101112869282
상장,01547933,351020,(주)미쥬,141,1101115060754
상장,00366942,059090,(주)미코,261,1346110012744
상장,00965813,201490,(주)미투온,5821,1101114358382
상장,01374717,475460,(주)미트박스글로벌,639,1311110375757
상장,00259590,035620,(주)바른손이앤에이,591,1101111354961
상장,00417963,067850,(주)바이나믹,59114,1101111774622
상장,00216027,053030,(주)바이넥스,212,1801110058742
상장,00403793,301300,(주)바이브컴퍼니,58222,1101112021501
