단위,모법인,이름,A세분류,B1주업종,B1_2단,매출,판정근거
법인,,동북아11호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,동북아14호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)디아이디,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,부산방직공업(주),소재제조,의류·패션,,,KSIC
법인,,(주)현대에이치씨엔동작방송,시설·자산운영,미디어·광고·영상,,,KSIC
법인,,(주)플렉스컴,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)웹솔루스,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)마이스코,부품제조,금속,,,KSIC
법인,,(주)솔트웍스,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,현대페인트(주),소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)한진해운,운송·보관,해상운송,,,KSIC
법인,,(주)글라소울,완제품제조,기계·운송기기,전력·중전기,,KSIC
법인,,주식회사 팬택자산관리,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)케이엔씨글로벌,시공·건설,건설·시공,,,KSIC
법인,,(주)아이디에스,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)훈영,콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,한솔아트원제지㈜,소재제조,화학·소재,제지·포장,,KSIC
법인,,(주)엠제이비,시공·건설,건설·시공,,,KSIC
법인,,바다로3호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)아이팩토리,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,거북선5호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,거북선6호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,삼성물산(주),도매·상사,다품목·범용,,,KSIC
법인,,(주)피엘에이,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,닉스테크(주),콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,아시아퍼시픽9호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,거북선4호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,(주)중앙건설,시공·건설,건설·시공,,,KSIC
법인,,미래에셋새천년코리아벤처펀드일호,금융,자산운용업,,,KSIC
법인,,(주)하나은행,금융,은행업,,,KSIC
법인,,에이스하이텍(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)태창파로스,도매·상사,다품목·범용,,,KSIC
법인,,스탠다드펌(주),소재제조,금속,비철금속,,KSIC
법인,,벽산건설(주),시공·건설,건설·시공,,,KSIC
법인,,NH농협증권(주),금융,증권·투자매매업,,,KSIC
법인,,아시아퍼시픽4호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,한화화인케미칼(주),소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)정다운,완제품제조,식품·음료,,,KSIC
법인,,(주)지오엠씨,부품제조,전자·정밀,전자기기·모듈,,KSIC
