기업집단명,소속회사명,법인등록번호,KSIC,영위업종,종업원수,매출액,기업공개일,A세분류,A대분류,B1주업종,B1_2단,묶음노드,모수계층,판정근거
현대자동차,현대아이에스씨(주),1201111163295,C2411,"제철, 제강 및 합금철 제조업",861,"89,860",,소재제조,제조,금속,철강,,T2,KSIC C2411
현대자동차,현대아이에이치엘(주),1712110007722,C2842,조명장치 제조업,512,"446,209",,완제품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2842
현대자동차,현대아이엠씨(주),1717110165314,C2411,"제철, 제강 및 합금철 제조업",734,"106,528",,소재제조,제조,금속,철강,,T2,KSIC C2411
현대자동차,현대아이이씨(주),2013110099308,C2411,"제철, 제강 및 합금철 제조업",368,"42,791",,소재제조,제조,금속,철강,,T2,KSIC C2411
현대자동차,현대아이티씨(주),1650110079319,C2411,"제철, 제강 및 합금철 제조업","4,103","430,393",,소재제조,제조,금속,철강,,T2,KSIC C2411
현대자동차,현대얼터너티브(주),1101119146138,K6420,신탁업 및 집합투자업,17,344,,금융,서비스,자산운용업,,,T2,KSIC K6420
현대해상화재보험,현대에이치디에스(주),1101111059610,J6202,"컴퓨터시스템 통합 자문, 구축 및 관리업",407,"108,352",,인적서비스,서비스,소프트웨어·IT,,,T2,KSIC J6202
현대자동차,현대에코에너지(주),1614110040506,D3511,발전업,8,"24,395",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
현대자동차,현대엔지니어링(주),1101112153015,M7212,엔지니어링 서비스업,"6,730","10,207,820",,인적서비스,서비스,전문서비스,,,T2,KSIC M7212
현대자동차,현대엔지비(주),1101112094201,M7390,"그 외 기타 전문, 과학 및 기술 서비스업",84,"50,767",,인적서비스,서비스,전문서비스,,,T2,KSIC M7390
현대자동차,현대엔터프라이즈(주),1101117590345,M7153,경영 컨설팅 및 공공 관계 서비스업,2,683,,인적서비스,서비스,전문서비스,,,T2,KSIC M7153
